-*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*-
Seq : 2 N:100
Mx:0.4019775,MEAN:0.3456348,MIN:0.3258057,MAX:0.4019775,Kurtosis:42.12759,Alteration:-0.05700675,RANGE:0.07617188,ENERGY:11.9523,POWER:0.119523,RMS:0.3457211,STD:0.00772137,Variance:5.961955e-05,SKEW:0.0003509494,SLOPE : 0.01025391
My:0.4847412,MEAN:0.4635862,MIN:0.4628906,MAX:0.4847412,Kurtosis:32.26349,Alteration:-0.02185091,RANGE:0.02185059,ENERGY:21.49227,POWER:0.2149227,RMS:0.4635976,STD:0.003250373,Variance:1.056492e-05,SKEW:5.505219e-05,SLOPE : 0.001586914
Mz:-0.03222656,MEAN:-0.08257318,MIN:-0.08959961,MAX:0.06018066,Kurtosis:78.32397,Alteration:-0.02185091,RANGE:0.1497803,ENERGY:0.705205,POWER:0.007052051,RMS:0.08397648,STD:0.01528791,Variance:0.0002337201,SKEW:0.002007546,SLOPE : -0.09240723
-*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*--*-
Seq : 7 N:100
Ax:0.1094971,MEAN:-0.1134301,MIN:-0.1574707,MAX:0.1094971,Kurtosis:45.54378,Alteration:-0.2276611,RANGE:0.2669678,ENERGY:1.375457,POWER:0.01375457,RMS:0.1172799,STD:0.02980238,Variance:0.0008881819,SKEW:0.005788908,SLOPE:0.04248047
Ay:-0.4343262,MEAN:-0.04407717,MIN:-0.4343262,MAX:-0.01599121,Kurtosis:35.43963,Alteration:0.4001465,RANGE:0.418335,ENERGY:0.5438563,POWER:0.005438563,RMS:0.07374661,STD:0.059125,Variance:0.003495766,SKEW:-0.02050827,SLOPE:-0.1298828
Az:0.3029785,MEAN:0.9795267,MIN:0.3029785,MAX:0.9952393,Kurtosis:46.90175,Alteration:0.6922596,RANGE:0.6922607,ENERGY:96.87621,POWER:0.9687622,RMS:0.9842571,STD:0.09638268,Variance:0.009289622,SKEW:-0.06283493,SLOPE : -0.01904297
Gx:70.54367,MEAN:-17.09087,MIN:-19.76868,MAX:70.54367,Kurtosis:39.4889,Alteration:-90.31236,RANGE:90.31235,ENERGY:43681.91,POWER:436.8192,RMS:20.90022,STD:12.03001,Variance:144.7212,SKEW:864.9273,SLOPE : 19.23782
Gy:-3.955231,MEAN:40.97107,MIN:-23.49213,MAX:44.84589,Kurtosis:13.82232,Alteration:48.80116,RANGE:68.33802,ENERGY:185601.3,POWER:1856.013,RMS:43.08147,STD:13.31855,Variance:177.3839,SKEW:-645.6443,SLOPE : 19.5369
Gz:14.04892,MEAN:11.86451,MIN:-8.097382,MAX:59.91913,Kurtosis:50.6173,Alteration:-1.921529,RANGE:68.01651,ENERGY:17393.6,POWER:173.936,RMS:13.18848,STD:5.759298,Variance:33.16951,SKEW:168.306,SLOPE : -45.87021
Mx:0.3115234,MEAN:0.3453003,MIN:0.3115234,MAX:0.4019775,Kurtosis:32.16149,Alteration:0.03344736,RANGE:0.0904541,ENERGY:11.93035,POWER:0.1193035,RMS:0.3454033,STD:0.008434343,Variance:7.113814e-05,SKEW:0.0002755686,SLOPE : -0.0904541
My:0.4720459,MEAN:0.4636777,MIN:0.4628906,MAX:0.4847412,Kurtosis:28.66823,Alteration:-0.009155602,RANGE:0.02185059,ENERGY:21.50083,POWER:0.2150083,RMS:0.4636899,STD:0.003358598,Variance:1.128018e-05,SKEW:5.484179e-05,SLOPE : -0.01269531
